Overall_Rank,Fund,Alpha_Quartile_Label,Alpha_pct,Excess_Return_pct,Beta_rounded,Expense_Ratio_pct,AUM_B_IDR,Age_Yrs,Source,Recommendation
1,SUCOREQ_IJ_Equity,Q4 (Top 25%),6.34%,-0.78%,0.835,406%,0B,13.5,MF_JCI,BUY (verify criteria)
2,TRMGHBB_IJ_Equity,Q4 (Top 25%),5.98%,-1.14%,0.916,3.71%,0B,10,MF_JCI,BUY (verify criteria)
3,PDLPNEF_IJ_Equity,Q4 (Top 25%),5.37%,-1.75%,0.969,200%,0B,3.3,MF_JCI,BUY (verify criteria)
4,NIKINEF_IJ_Equity,Q4 (Top 25%),4.44%,-2.68%,0.969,200%,0B,13,MF_JCI,BUY (verify criteria)
5,FWDEXEQ_IJ_Equity,Q4 (Top 25%),4.01%,-3.11%,0.872,200%,N/A,3.5,MF_JCI,BUY (verify criteria)
6,SIMSAHM_IJ_Equity,Q4 (Top 25%),4%,-3.12%,0.764,413%,0B,18.1,MF_JCI,BUY (verify criteria)
7,BTCWVRA_IJ_Equity,Q4 (Top 25%),3.76%,-3.35%,0.808,200%,0B,5.6,MF_JCI,BUY (verify criteria)
8,AMFZAMD_IJ_Equity,Q4 (Top 25%),3.61%,-3.51%,0.899,200%,0.01B,21.9,MF_JCI,BUY (verify criteria)
9,TRISARA_IJ_Equity,Q4 (Top 25%),3.61%,-3.51%,0.912,1.63%,0B,8.1,MF_JCI,BUY (verify criteria)
10,XAQA_IJ_Equity,Q4 (Top 25%),3.45%,-3.66%,0.804,200%,0B,6.4,ETF_JCI,BUY (verify criteria)
11,BLSDINI_IJ_Equity,Q4 (Top 25%),3.2%,-3.92%,0.936,266%,0B,28.3,MF_JCI,BUY (verify criteria)
12,ASHSSN2_IJ_Equity,Q4 (Top 25%),3.17%,-3.95%,0.937,200%,0B,7.6,MF_JCI,BUY (verify criteria)
13,KISIEQF_IJ_Equity,Q3 (50-75%),3.15%,-3.97%,0.88,331%,0B,5.9,MF_JCI,EXCLUDE
14,XMLF_IJ_Equity,Q3 (50-75%),3.05%,-4.07%,0.983,200%,0B,2.7,ETF_JCI,EXCLUDE
15,BASALNG_IJ_Equity,Q3 (50-75%),2.9%,-4.21%,0.891,1.74%,0B,8.1,MF_JCI,EXCLUDE
16,MANSAMA_IJ_Equity,Q3 (50-75%),2.84%,-4.28%,0.99,200%,0B,10,MF_JCI,EXCLUDE
17,BASAERA_IJ_Equity,Q3 (50-75%),2.62%,-4.5%,0.895,1.64%,0B,8.6,MF_JCI,EXCLUDE
18,MANDUMA_IJ_Equity,Q3 (50-75%),2.52%,-4.6%,0.981,200%,0B,7.8,MF_JCI,EXCLUDE
19,XBLQ_IJ_Equity,Q3 (50-75%),2.42%,-4.7%,0.921,109%,0B,7.6,ETF_JCI,EXCLUDE
20,MANSDEP_IJ_Equity,Q3 (50-75%),2.37%,-4.74%,0.958,200%,0B,7.9,MF_JCI,EXCLUDE
21,AMFZPER_IJ_Equity,Q3 (50-75%),2.35%,-4.77%,0.934,200%,0B,9.2,MF_JCI,EXCLUDE
22,KRIND45_IJ_Equity,Q3 (50-75%),2.28%,-4.84%,0.977,119%,0B,17.1,MF_JCI,EXCLUDE
23,R-LQ45X_IJ_Equity,Q3 (50-75%),2.17%,-4.95%,0.994,136%,0B,17.9,ETF_JCI,EXCLUDE
24,XDIF_IJ_Equity,Q3 (50-75%),2.15%,-4.97%,0.969,125%,0B,7.6,ETF_JCI,EXCLUDE
25,XPLQ_IJ_Equity,Q2 (25-50%),2.15%,-4.97%,0.95,200%,0B,9.3,ETF_JCI,EXCLUDE
26,SAMBETA_IJ_Equity,Q2 (25-50%),2.06%,-5.06%,0.971,432%,0B,8.2,MF_JCI,EXCLUDE
27,PDBERKG_IJ_Equity,Q2 (25-50%),2.03%,-5.09%,0.899,200%,0B,8.1,MF_JCI,EXCLUDE
28,AXFIARP_IJ_Equity,Q2 (25-50%),1.89%,-5.23%,1.058,200%,0B,14.7,MF_JCI,EXCLUDE
29,PANDEDI_IJ_Equity,Q2 (25-50%),1.69%,-5.43%,0.96,200%,0B,8.3,MF_JCI,EXCLUDE
30,AVILQ45_IJ_Equity,Q2 (25-50%),1.57%,-5.55%,0.984,126%,0B,6.7,MF_JCI,EXCLUDE
31,XCLQ_IJ_Equity,Q2 (25-50%),1.14%,-5.98%,0.99,159%,0B,6,ETF_JCI,EXCLUDE
32,AXFIDRP_IJ_Equity,Q2 (25-50%),1%,-6.12%,0.973,200%,0B,15.4,MF_JCI,EXCLUDE
33,AXFIERP_IJ_Equity,Q2 (25-50%),0.91%,-6.21%,0.954,200%,0B,20.4,MF_JCI,EXCLUDE
34,ACEREQ2_IJ_Equity,Q2 (25-50%),0.63%,-6.49%,0.883,200%,0B,11.2,MF_JCI,EXCLUDE
35,SIMSHBR_IJ_Equity,Q2 (25-50%),0.5%,-6.62%,0.898,328%,0B,10.2,MF_JCI,EXCLUDE
36,AZRPLQF_IJ_Equity,Q2 (25-50%),0.43%,-6.69%,0.72,200%,0B,12.4,MF_JCI,EXCLUDE
37,AMFZAMA_IJ_Equity,Q2 (25-50%),0.25%,-6.86%,0.961,200%,0B,18.2,MF_JCI,EXCLUDE
38,MANDEMR_IJ_Equity,Q1 (Bottom 25%),0.2%,-6.92%,0.401,200%,0B,7.1,MF_JCI,EXCLUDE
39,BNISABA_IJ_Equity,Q1 (Bottom 25%),-0.06%,-7.18%,0.951,200%,0B,7.6,MF_JCI,EXCLUDE
40,MANCEBB_IJ_Equity,Q1 (Bottom 25%),-0.08%,-7.2%,0.864,200%,0B,2.6,MF_JCI,EXCLUDE
41,BNIAMSS_IJ_Equity,Q1 (Bottom 25%),-0.19%,-7.31%,0.943,159%,0B,11.6,MF_JCI,EXCLUDE
42,DMEKPLS_IJ_Equity,Q1 (Bottom 25%),-0.43%,-7.55%,0.935,1.89%,0B,10.6,MF_JCI,EXCLUDE
43,SINSAUN_IJ_Equity,Q1 (Bottom 25%),-0.47%,-7.58%,0.805,414%,0B,12.9,MF_JCI,EXCLUDE
44,BATLQ45_IJ_Equity,Q1 (Bottom 25%),-0.59%,-7.71%,0.97,420%,0B,11.5,MF_JCI,EXCLUDE
45,DANMAWI_IJ_Equity,Q1 (Bottom 25%),-0.64%,-7.76%,0.925,4.02%,0B,29.4,MF_JCI,EXCLUDE
46,PNMSUNG_IJ_Equity,Q1 (Bottom 25%),-1.7%,-8.82%,0.909,446%,0B,9.8,MF_JCI,EXCLUDE
47,MANSHAM_IJ_Equity,Q1 (Bottom 25%),-1.77%,-8.89%,0.945,288%,0B,22.3,MF_JCI,EXCLUDE
48,CIPSAKE_IJ_Equity,Q1 (Bottom 25%),-1.79%,-8.91%,0.807,268%,0B,7.5,MF_JCI,EXCLUDE
49,MSIGEEF_IJ_Equity,Q1 (Bottom 25%),-1.92%,-9.04%,0.908,200%,0B,9.2,MF_JCI,EXCLUDE
50,LIPEQPL_IJ_Equity,Q1 (Bottom 25%),-2.51%,-9.63%,0.744,200%,0B,10.6,MF_JCI,EXCLUDE
