Overall_Rank,Fund,Alpha_Quartile_Label,Alpha_pct,Excess_Return_pct,Beta_rounded,Expense_Ratio_pct,AUM_B_IDR,Age_Yrs,Source,Recommendation
1,SUCOREQ_IJ_Equity,Q4 (Top 25%),6.34%,-0.78%,0.835,406%,0B,13.5,MF_JCI,BUY (verify criteria)
2,TRMGHBB_IJ_Equity,Q4 (Top 25%),5.98%,-1.14%,0.916,3.71%,0B,10,MF_JCI,BUY (verify criteria)
3,PDLPNEF_IJ_Equity,Q4 (Top 25%),5.37%,-1.75%,0.969,200%,0B,3.3,MF_JCI,BUY (verify criteria)
4,NIKINEF_IJ_Equity,Q4 (Top 25%),4.44%,-2.68%,0.969,200%,0B,13,MF_JCI,BUY (verify criteria)
5,FWDEXEQ_IJ_Equity,Q4 (Top 25%),4.01%,-3.11%,0.872,200%,N/A,3.5,MF_JCI,BUY (verify criteria)
6,SIMSAHM_IJ_Equity,Q4 (Top 25%),4%,-3.12%,0.764,413%,0B,18.1,MF_JCI,BUY (verify criteria)
7,BTCWVRA_IJ_Equity,Q4 (Top 25%),3.76%,-3.35%,0.808,200%,0B,5.6,MF_JCI,BUY (verify criteria)
8,AMFZAMD_IJ_Equity,Q4 (Top 25%),3.61%,-3.51%,0.899,200%,0.01B,21.9,MF_JCI,BUY (verify criteria)
9,TRISARA_IJ_Equity,Q4 (Top 25%),3.61%,-3.51%,0.912,1.63%,0B,8.1,MF_JCI,BUY (verify criteria)
10,XAQA_IJ_Equity,Q4 (Top 25%),3.45%,-3.66%,0.804,200%,0B,6.4,ETF_JCI,BUY (verify criteria)
11,BLSDINI_IJ_Equity,Q4 (Top 25%),3.2%,-3.92%,0.936,266%,0B,28.3,MF_JCI,BUY (verify criteria)
12,ASHSSN2_IJ_Equity,Q4 (Top 25%),3.17%,-3.95%,0.937,200%,0B,7.6,MF_JCI,BUY (verify criteria)
